Input,Output
A,"1
0 0 A"
AAAAAA,"6
0 0 A
0 0 A
0 0 A
0 0 A
0 0 A
0 0 A"
AB,"2
0 0 A
0 0 B"
ABAB,"4
0 0 A
0 0 B
0 0 A
0 0 B"
ABC,"3
0 0 A
0 0 B
0 0 C"
AABB,"3
0 0 A
1 1 B
0 0 B"
AAABBC,"3
0 0 A
1 2 B
1 1 C"
HELLO,"4
0 0 H
0 0 E
0 0 L
1 1 O"
hello,"4
0 0 h
0 0 e
0 0 l
1 1 o"
Hello,"4
0 0 H
0 0 e
0 0 l
1 1 o"
12345,"5
0 0 1
0 0 2
0 0 3
0 0 4
0 0 5"
111122223333,"6
0 0 1
1 3 2
1 3 3
0 0 3
0 0 3
0 0 3"
!@#$,"4
0 0 !
0 0 @
0 0 #
0 0 $"
AaBbCc,"6
0 0 A
0 0 a
0 0 B
0 0 b
0 0 C
0 0 c"
BANANA,"6
0 0 B
0 0 A
0 0 N
0 0 A
0 0 N
0 0 A"
MISSISSIPPI,"6
0 0 M
0 0 I
0 0 S
1 1 I
3 3 P
1 1 I"
ABCDABCD,"8
0 0 A
0 0 B
0 0 C
0 0 D
0 0 A
0 0 B
0 0 C
0 0 D"
XYZxyz123,"9
0 0 X
0 0 Y
0 0 Z
0 0 x
0 0 y
0 0 z
0 0 1
0 0 2
0 0 3"
++++++++++,"10
0 0 +
0 0 +
0 0 +
0 0 +
0 0 +
0 0 +
0 0 +
0 0 +
0 0 +
0 0 +"
abababababab,"12
0 0 a
0 0 b
0 0 a
0 0 b
0 0 a
0 0 b
0 0 a
0 0 b
0 0 a
0 0 b
0 0 a
0 0 b"
TOBEORNOTTOBE,"10
0 0 T
0 0 O
0 0 B
0 0 E
3 1 R
0 0 N
6 1 T
1 1 O
0 0 B
0 0 E"
a1b2c3d4,"8
0 0 a
0 0 1
0 0 b
0 0 2
0 0 c
0 0 3
0 0 d
0 0 4"
Z,"1
0 0 Z"
0000000000,"10
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0"
ABCDEABCDEABCDE,"15
0 0 A
0 0 B
0 0 C
0 0 D
0 0 E
0 0 A
0 0 B
0 0 C
0 0 D
0 0 E
0 0 A
0 0 B
0 0 C
0 0 D
0 0 E"
TheQuickBrownFox,"15
0 0 T
0 0 h
0 0 e
0 0 Q
0 0 u
0 0 i
0 0 c
0 0 k
0 0 B
0 0 r
0 0 o
0 0 w
0 0 n
0 0 F
4 1 x"
::::::::::::::::,"16
0 0 :
0 0 :
0 0 :
0 0 :
0 0 :
0 0 :
0 0 :
0 0 :
0 0 :
0 0 :
0 0 :
0 0 :
0 0 :
0 0 :
0 0 :
0 0 :"
ABABCBABABCAD,"6
0 0 A
0 0 B
2 2 C
4 3 A
6 2 A
0 0 D"
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,"30
0 0 A
0 0 A
0 0 A
0 0 A
0 0 A
0 0 A
0 0 A
0 0 A
0 0 A
0 0 A
0 0 A
0 0 A
0 0 A
0 0 A
0 0 A
0 0 A
0 0 A
0 0 A
0 0 A
0 0 A
0 0 A
0 0 A
0 0 A
0 0 A
0 0 A
0 0 A
0 0 A
0 0 A
0 0 A
0 0 A"
ABCDEFGHIJKLMNOPQRSTUVWXYZ,"26
0 0 A
0 0 B
0 0 C
0 0 D
0 0 E
0 0 F
0 0 G
0 0 H
0 0 I
0 0 J
0 0 K
0 0 L
0 0 M
0 0 N
0 0 O
0 0 P
0 0 Q
0 0 R
0 0 S
0 0 T
0 0 U
0 0 V
0 0 W
0 0 X
0 0 Y
0 0 Z"
